"EY","CFTP","ln_MV","DY","BTME","DTE","HSI"
-0.8924,-3.0931,5.0943,0,8.9697,0.399,0
0.0927,0.1389,7.8291,4.998,1.2997,0.1549,0
0.0216,-0.093,6.4085,0.892,0.5697,0.2502,0
0.2165,0.1035,4.6179,6.904,5.4971,0.3091,0
-0.1021,0.0531,6.5188,0,3.2473,0.3144,0
0.0183,-0.1624,6.7612,0,1.7901,1.393,0
0.1362,0.0261,9.1071,4.874,1.0389,-1.8686,0
0.1279,0.1661,6.6172,3.952,0.5418,0.7557,0
-2.2262,-0.6268,4.2683,0,0.9988,0.9157,0
0.0253,-0.1991,5.1497,0,3.3563,0.9833,0
0.0698,0.4097,4.4326,0,3.7322,0.4895,0
0.133,0.1371,6.4146,6.34,2.1099,0.1202,0
-0.1133,-0.1835,6.9173,0,0.4359,0.0655,0
-0.5294,-1.1111,4.5004,0,0.8929,0.5302,0
0.101,0.1497,9.1148,3.202,0.596,9.1319,0
0.1641,0.1769,5.4129,4.018,0.7427,1.1414,0
0.1807,0.2125,4.565,11.604,2.7644,0.737,0
-0.0747,0.0582,5.9409,0,5.3801,0.9365,0
0.1402,0.2283,5.8708,1.854,0.5805,0.4464,0
0.0847,0.1269,5.2781,2.76,1.2821,0.3689,0
0.0899,0.0953,8.9735,0.85,0.3148,0.2032,0
0.0699,0.0095,5.1446,0,1.5779,0.7919,0
0.076,0.2381,6.0761,0,2.5013,0.906,0
0.1062,-0.8026,3.9956,0,2.0248,2.2336,0
0.0548,0.0649,8.0343,0,0.4094,12.0007,0
-1.2784,-0.8108,4.2699,0,1.0667,0.2179,0
-0.0404,-3.35,5.2435,0,1.6621,-1.339,0
-0.3162,-0.0465,6.6281,0,0.1898,0.1796,0
-0.495,-0.4082,5.3158,0,2.7654,0.7689,0
0.0445,-0.0976,6.1573,1.856,1.5774,0.719,0
0.0956,0.2601,7.0082,4.792,0.6118,0.2476,0
0.017,-6.8718,5.4383,0,1.509,0.1167,0
-0.2046,-0.0735,6.0733,0,0.375,14.5601,0
-1.1252,-0.2754,6.5055,0,1.5538,0.297,0
0.1826,0.0589,4.4758,2.292,1.8105,0.9083,0
0.1786,0.1168,5.8705,9.714,2.7922,0.4726,0
-0.4923,-0.5525,2.9704,0,2.0833,0.0125,0
2.2751,-0.0272,4.7443,0,2.0643,4.8361,0
-2.764,-0.131,6.0516,0,0.4341,0.6587,0
-0.3326,-0.3131,5.9848,0,0.9131,0.5777,0
-0.0532,-0.8917,7.223,0,0.0579,2.6993,0
0.0298,0.0365,7.7401,0.658,0.583,1.1064,0
0.0475,0.0912,6.0822,1.062,0.9277,0.7628,0
0.2017,0.253,5.9979,9.246,7.4725,0.2483,0
0.3599,-0.356,4.4265,0,10,0.89,0
0.2158,-0.5829,5.9599,4.01,7.1429,0.6258,0
-0.2111,-0.3133,6.1131,0,0.8108,0.081,0
0.0555,0.1081,9.2656,1.826,0.2956,1.0525,0
1.3929,0.0819,5.3626,0,1.1216,8.1277,0
0.1611,-0.3466,3.3789,0,1.9846,0.0098,0
0.0411,0.0591,6.6256,0,0.2638,0.5662,0
-0.0748,-0.5412,6.1578,0,0.8853,0.7593,0
-0.085,-0.3235,4.7549,0,1.8004,0.5138,0
0.0828,0.4509,6.1717,4.04,5,0.5256,0
-0.097,-0.1026,5.2552,0,3.0693,0.1917,0
0.1407,0.1741,6.7188,1.876,0.6416,0.5207,0
-1.005,-0.4202,4.5891,0,3.17,4.1111,0
0.0265,-0.2902,5.1942,0,1.6227,0.1534,0
0.1286,0.1294,6.3768,2.886,1.8881,0.0651,0
0.0595,0.0461,5.5966,2.286,2.7937,0.0355,0
0.2551,0.2117,5.9917,9.126,1.202,0.5836,0
-0.7375,-2.505,4.8681,0,1.5364,0.4929,0
0.0069,0.1381,7.2834,0,0.2805,0.8596,0
0.2058,0.3735,6.894,7.874,2.4762,0.933,0
0.0034,0.2674,4.7577,4.26,2.2222,0.56,0
0.0914,0.1208,6.6885,2.488,0.6181,0.6664,0
0.0114,0.4086,4.5884,14.582,2.2737,0.7107,0
0.033,0.0435,5.0038,0,1.2674,0.1848,0
0.1573,0.2233,5.7592,7.94,0.9491,0.6745,0
-2.3616,0.968,5.7842,0,0.8418,-1.1543,0
-0.1261,0.2081,5.9896,0,0.1064,-1.1388,0
-0.1579,-0.5236,3.8299,0,2.3256,1.2535,0
0.122,0.0465,4.2343,0,1.0638,3.516,0
0.0042,0.0219,8.0596,0,0.0905,-1.5433,0
0.0838,0.094,8.5566,2.902,0.3263,0.3196,0
